Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0cgwdBXXlPfXJXWf3wMs32,"Vaa Vaathi","Vaathi","G. V. Prakash,Shweta Mohan",2022-11-10,225380,63,,2023-02-07T22:09:29Z,"kollywood,tamil pop,filmi","Aditya Music",0.582,0.504,9,-8.423,0,0.05,0.355,0,0.86,0.428,90.899,4
3KrKkY581OwameSpuutY6H,"Ethir Neechal (From Ethir Neechal)","Bromance: Anirudh Ravichander & Sivakarthikeyan","Anirudh Ravichander,Yo Yo Honey Singh,Hiphop Tamizha",2018-03-23,270720,45,,2023-02-07T21:50:27Z,"desi hip hop,filmi,tamil hip hop,hindi hip hop,modern bollywood,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.752,0.97,5,-4.167,1,0.0943,0.0556,0.00000121,0.0999,0.537,119.97,4
4C7GCUBXqlfYTNQKO34B73,"Aasai Peraasai - The Greedy Good","Thani Oruvan (Original Motion Picture Soundtrack)","Hiphop Tamizha,Jayam Ravi",2015-07-22,155996,36,,2023-02-07T20:52:15Z,"desi hip hop,tamil hip hop,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.547,0.818,1,-7.178,1,0.0642,0.87,0.896,0.198,0.277,89.904,4
7IpDQcksaT8SxS7vOX4SRm,"What You Need","Trilogy","The Weeknd",2012-11-13,196360,59,,2023-02-06T05:19:30Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.68,0.405,7,-8.637,0,0.0561,0.525,0.0745,0.146,0.0684,133.933,4
4lCJO8QeKIkU2um1z5NBb9,"Bloody Sweet (From Leo)","Bloody Sweet (From Leo)","Anirudh Ravichander,Siddharth Basrur",2023-02-03,168540,53,,2023-02-05T20:02:28Z,"desi hip hop,filmi,tamil hip hop,modern bollywood","Sony Music Entertainment India Pvt. Ltd.",0.511,0.683,5,-6.484,1,0.0427,0.00442,0.00516,0.089,0.254,123.85,4
78Sw5GDo6AlGwTwanjXbGh,"Here With Me","Here With Me","d4vd",2022-09-22,242484,33,,2023-02-03T08:08:54Z,"bedroom pop,bedroom r&b","Darkroom/Interscope Records",0.574,0.469,4,-8.209,1,0.0254,0.534,0.0000921,0.128,0.288,132.023,4
2r32XiAWtZbT3eLUvf4pag,"Jee Le Zaraa","Talaash","Vishal Dadlani",2012-10-18,215202,66,,2023-02-01T12:37:13Z,"filmi,modern bollywood","T-Series",0.584,0.698,4,-6.61,0,0.0376,0.447,0,0.0699,0.436,79.993,4
3F7IiHst8X2KXwu4oBkywY,"Theemai Dhaan Vellum - Awakening the Monster","Thani Oruvan (Original Motion Picture Soundtrack)","Hiphop Tamizha,Arvind Swamy",2015-07-22,212497,54,,2023-01-29T12:22:23Z,"desi hip hop,tamil hip hop,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.715,0.655,11,-5.091,0,0.0911,0.8,0.00000258,0.571,0.568,80.012,4
3i0FkJYlU4MFfYkjFHXXAM,"I'm Not Here To Make Friends","Gloria","Sam Smith,Calvin Harris,Jessie Reyez",2023-01-27,229604,62,,2023-01-27T14:26:51Z,"pop,uk pop,dance pop,edm,electro house,house,progressive house,uk dance,canadian contemporary r&b,canadian pop","Capitol Records UK / EMI",0.697,0.899,0,-4.451,1,0.0669,0.178,0.0000102,0.418,0.833,114.939,4
2K9Ovn1o2bTGqbsABGC6m3,"Too Late","After Hours","The Weeknd",2020-03-20,239973,63,,2023-01-27T07:39:18Z,"canadian contemporary r&b,canadian pop,pop","Republic Records",0.637,0.863,4,-5.221,0,0.131,0.0524,0.0000546,0.685,0.226,120.077,4
2LKOHdMsL0K9KwcPRlJK2v,"After Dark","Time","Mr.Kitty",2014-10-06,259146,75,,2023-01-27T06:48:37Z,"weirdcore","Negative Gain Productions",0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,4
2uJ6iDuyoWXtMa0KvebF4C,"Ava","Teen Wolf (Original Television Soundtrack)","Famy",2017-09-15,238946,53,,2023-01-21T15:47:34Z,"","Masterworks",0.417,0.733,0,-7.155,1,0.0363,0.0679,0.00228,0.0913,0.403,156.002,4
